id,output
30,(ORDER (PIZZAORDER (NUMBER one ) (SIZE small ) pizza with (TOPPING pesto ) (TOPPING bacon ) and avoid (NOT (TOPPING onions ) ) ) )
31,(ORDER i need to order (PIZZAORDER (NUMBER three ) (SIZE small ) (TOPPING sausage ) pizza ) and (DRINKORDER (NUMBER three ) (CONTAINERTYPE bottles ) of (DRINKTYPE coke ) ) )
32,(ORDER i need (PIZZAORDER (NUMBER two ) pies along with (TOPPING peppers ) and (TOPPING bacon ) (TOPPING pesto ) ) )
33,(ORDER i need (PIZZAORDER (NUMBER one ) (SIZE large ) (TOPPING chicken ) pizza ) and (PIZZAORDER (NUMBER one ) (SIZE small ) pizza with (COMPLEX_TOPPING (QUANTITY extra ) (TOPPING cheese ) ) ) )
34,(ORDER i would like (PIZZAORDER (NUMBER a ) (SIZE small ) pizza with (TOPPING pepperoni ) and (TOPPING ham ) but no (NOT (TOPPING tuna ) ) ) please )
35,(ORDER i would like (PIZZAORDER (NUMBER two ) (SIZE large ) pizzas with (STYLE everything ) ) and (PIZZAORDER (NUMBER two ) (SIZE large ) pizzas with (TOPPING mushrooms ) and (COMPLEX_TOPPING (QUANTITY extra ) (TOPPING cheese ) ) ) and (DRINKORDER (NUMBER six ) (SIZE large ) (DRINKTYPE cokes ) ) )
36,(ORDER i need (PIZZAORDER (NUMBER a ) (TOPPING pineapple ) (TOPPING ham ) pizza with no (NOT (TOPPING peppers ) ) ) )
37,(ORDER i need (PIZZAORDER (NUMBER two ) (SIZE small ) pizzas with (TOPPING peppers ) and (TOPPING bacon ) hold the (NOT (TOPPING olives ) ) ) )
38,(ORDER i wish to have (PIZZAORDER (NUMBER one ) (SIZE large ) pizza with (COMPLEX_TOPPING (QUANTITY extra ) (TOPPING pepperoni ) ) ) and (PIZZAORDER (NUMBER two ) (SIZE medium ) pizzas ) )
39,(ORDER get me (PIZZAORDER (NUMBER a ) (TOPPING chicken ) and (TOPPING onion ) pizza with no (NOT (TOPPING pesto ) ) ) )
40,(ORDER i want (PIZZAORDER (NUMBER a ) (SIZE small ) pizza with (TOPPING peppers ) and (TOPPING onions ) ) and (PIZZAORDER (NUMBER a ) (SIZE medium ) (TOPPING pepperoni ) pizza with (COMPLEX_TOPPING (QUANTITY extra ) (TOPPING cheese ) ) ) and (DRINKORDER (NUMBER a ) (SIZE small ) (DRINKTYPE dr pepper ) ) )
41,(ORDER can i get (PIZZAORDER (NUMBER a ) (SIZE small ) (STYLE thin crust ) (TOPPING chicken ) and (TOPPING pepper ) pizza ) )
42,(ORDER i want (PIZZAORDER (NUMBER a ) (SIZE large ) (TOPPING mushroom ) (TOPPING pepperoni ) and (TOPPING banana pepper ) pizza ) )
43,(ORDER i want (PIZZAORDER (NUMBER one ) (SIZE small ) pizza with (TOPPING chicken ) and (COMPLEX_TOPPING (QUANTITY extra ) (TOPPING cheese ) ) and no (NOT (TOPPING olives ) ) ) )
44,(ORDER i would like to order (PIZZAORDER (NUMBER two ) (SIZE large ) (TOPPING cheese ) pizzas ) )
45,(ORDER i need to order (PIZZAORDER (NUMBER a ) (SIZE medium ) pizza with (TOPPING sausage ) and (TOPPING ham ) ) and (PIZZAORDER (NUMBER a ) (SIZE medium ) pizza with (TOPPING pepperoni ) and (TOPPING sausage ) ) and (PIZZAORDER (NUMBER a ) (SIZE small ) pizza with (TOPPING mushrooms ) and (TOPPING green peppers ) ) )
46,(ORDER i want (PIZZAORDER (NUMBER a ) (TOPPING tuna ) (STYLE thin crust ) without (NOT (TOPPING peppers ) ) ) )
47,(ORDER (PIZZAORDER (NUMBER two ) (TOPPING mushrooms ) (TOPPING pesto ) (SIZE medium ) pizzas without (NOT (TOPPING onions ) ) ) )
48,(ORDER i would like to try (PIZZAORDER (NUMBER a ) (SIZE medium ) pie with (TOPPING onions ) and (TOPPING ham ) and no (NOT (TOPPING sausage ) ) ) )
49,(ORDER i want to order (PIZZAORDER (NUMBER a ) (SIZE large ) pizza (COMPLEX_TOPPING (QUANTITY extra ) (TOPPING cheese ) ) and (TOPPING pepperoni ) no (NOT (TOPPING bacon ) ) ) )
50,(ORDER i want to order (PIZZAORDER (NUMBER four ) (SIZE medium ) pizzas with (COMPLEX_TOPPING (QUANTITY extra ) (TOPPING cheese ) ) and (COMPLEX_TOPPING (QUANTITY light ) (TOPPING sauce ) ) ) )
51,(ORDER i would like to try (PIZZAORDER (NUMBER one ) (SIZE small ) (TOPPING bacon ) (TOPPING mushroom ) pizza without any (NOT (TOPPING pineapple ) ) ) )
52,(ORDER get me (PIZZAORDER (NUMBER an ) (TOPPING onion ) (TOPPING ham ) and (TOPPING tuna ) pie ) )
53,(ORDER i'd like (PIZZAORDER (NUMBER a ) pizza with (TOPPING bacon ) (TOPPING sausage ) and (TOPPING mushrooms ) ) please )
54,(ORDER i need (PIZZAORDER (NUMBER a ) (SIZE large ) pizza with (TOPPING tuna ) (TOPPING olives ) and (COMPLEX_TOPPING (QUANTITY extra ) (TOPPING cheese ) ) ) )
55,(ORDER i want to get (PIZZAORDER (NUMBER a ) (STYLE thin crust ) (TOPPING olive ) pizza with no (NOT (TOPPING pineapple ) ) ) )
56,(ORDER i'd like (PIZZAORDER (NUMBER five ) (SIZE medium ) (TOPPING mushroom ) and (TOPPING pineapple ) pizzas ) please )
57,(ORDER i want (PIZZAORDER (NUMBER a ) (SIZE medium ) (TOPPING pesto ) and (TOPPING onion ) pizza with no (NOT (TOPPING bacon ) ) ) )
58,(ORDER i want (PIZZAORDER (NUMBER a ) (SIZE medium ) (TOPPING chicken ) (TOPPING sausage ) pizza with (COMPLEX_TOPPING (QUANTITY extra ) (TOPPING cheese ) ) ) )
59,(ORDER i want to order (PIZZAORDER (NUMBER a ) (SIZE medium ) (STYLE thin crust ) (TOPPING olive ) pizza with no (NOT (TOPPING onions ) ) ) )
60,(ORDER i want to get (PIZZAORDER (NUMBER a ) (SIZE small ) (TOPPING ham ) and (TOPPING pepperoni ) pie no (NOT (TOPPING tuna ) ) ) )
61,(ORDER i would like to try (PIZZAORDER (NUMBER a ) (SIZE large ) (TOPPING pepperoni ) pizza with (COMPLEX_TOPPING (QUANTITY extra ) (TOPPING cheese ) ) and no (NOT (TOPPING mushrooms ) ) ) please )
62,(ORDER i need (PIZZAORDER (NUMBER an ) (TOPPING olive ) and (TOPPING pepper ) pizza with no (NOT (TOPPING onions ) ) ) )
63,(ORDER i want (PIZZAORDER (NUMBER a ) pie with (TOPPING pepperoni ) and (COMPLEX_TOPPING (QUANTITY extra ) (TOPPING cheese ) ) ) )
64,(ORDER i would like to try (PIZZAORDER (NUMBER a ) (STYLE thin crust ) pie with (TOPPING peppers ) and (TOPPING chicken ) ) and (DRINKORDER (NUMBER a ) (DRINKTYPE pepsi ) ) please )
65,(ORDER i need to order (PIZZAORDER (NUMBER two ) (SIZE small ) (STYLE vegan ) pizzas ) and (PIZZAORDER (NUMBER one ) (SIZE large ) (STYLE vegetarian ) pizza ) )
66,(ORDER i would like to try (PIZZAORDER (NUMBER a ) (SIZE medium ) pizza with (TOPPING pesto ) and (TOPPING onions ) and no (NOT (TOPPING bacon ) ) ) please )
67,(ORDER (PIZZAORDER (NUMBER two ) (SIZE large ) pizzas with (TOPPING chicken ) (TOPPING mushroom ) without (NOT (TOPPING olives ) ) ) )
68,(ORDER i'd like to try (PIZZAORDER (NUMBER a ) (SIZE small ) pizza with (TOPPING bacon ) and (TOPPING olives ) but i don't want any (NOT (TOPPING pepperoni ) ) ) )
69,(ORDER can i get (PIZZAORDER (NUMBER a ) (SIZE small ) pizza with (TOPPING pesto ) and (TOPPING sausage ) and no (NOT (TOPPING pepperoni ) ) ) please )
70,(ORDER i want to get (PIZZAORDER (NUMBER a ) (SIZE large ) pizza with (TOPPING olives ) and (TOPPING onions ) but no (NOT (TOPPING pepperonis ) ) ) )
71,(ORDER get me (PIZZAORDER (NUMBER a ) (SIZE small ) (TOPPING ham ) and (TOPPING pesto ) pie with no (NOT (TOPPING onions ) ) ) )
72,(ORDER give me (PIZZAORDER (NUMBER a ) (TOPPING pesto ) pizza (COMPLEX_TOPPING (QUANTITY extra ) (TOPPING cheese ) ) no (NOT (TOPPING tuna ) ) ) )
73,(ORDER i would like (PIZZAORDER (NUMBER one ) (SIZE large ) (TOPPING pepperoni ) pizza ) and (PIZZAORDER (NUMBER two ) (SIZE medium ) (TOPPING italian sausage ) pizzas ) and (DRINKORDER (NUMBER four ) (SIZE large ) (DRINKTYPE diet sprites ) ) )
74,(ORDER i'd like (PIZZAORDER (NUMBER one ) pie with (TOPPING bacon ) (TOPPING olives ) and hold (NOT (TOPPING pesto ) ) ) )
75,(ORDER get me (PIZZAORDER (NUMBER a ) (SIZE small ) (TOPPING bacon ) and (TOPPING olive ) pie without (NOT (TOPPING pepperoni ) ) ) )
76,(ORDER i would like (PIZZAORDER (NUMBER a ) (SIZE small ) (TOPPING chicken ) and (TOPPING bacon ) pizza ) and (DRINKORDER (NUMBER a ) (SIZE small ) (DRINKTYPE diet pepsi ) ) )
77,(ORDER i would like to have (PIZZAORDER (NUMBER a ) pie with (TOPPING ham ) (TOPPING pesto ) and (TOPPING mushrooms ) ) )
78,(ORDER get me (PIZZAORDER (NUMBER two ) (SIZE small ) (TOPPING onion ) and (TOPPING mushroom ) pies with (TOPPING peppers ) ) )
79,(ORDER i want to order (PIZZAORDER (NUMBER two ) (SIZE small ) (TOPPING pepperoni ) pizzas ) and (DRINKORDER (NUMBER one ) (DRINKTYPE dr pepper ) ) and (DRINKORDER (NUMBER a ) (DRINKTYPE water ) ) )
80,(ORDER i'd have (PIZZAORDER (NUMBER a ) (SIZE medium ) pizza along with (TOPPING mushrooms ) and (TOPPING pineapple ) but avoid (NOT (TOPPING ham ) ) ) )
81,(ORDER i want (PIZZAORDER (NUMBER a ) (SIZE medium ) (TOPPING tuna ) and (TOPPING mushroom ) pizza no (NOT (TOPPING bacon ) ) ) )
82,(ORDER i would like to have (PIZZAORDER (NUMBER two ) (SIZE large ) pizzas with (TOPPING chicken ) and (TOPPING mushrooms ) but no (NOT (TOPPING olives ) ) ) please )
83,(ORDER i want (PIZZAORDER (NUMBER a ) pizza with (TOPPING pineapple ) (TOPPING sausage ) and no (NOT (TOPPING peppers ) ) ) )
84,(ORDER i would like (PIZZAORDER (NUMBER a ) (SIZE medium ) (TOPPING mushroom ) and (TOPPING pepperoni ) pizza with (COMPLEX_TOPPING (QUANTITY extra ) (TOPPING cheese ) ) ) please )
85,(ORDER get me (PIZZAORDER (NUMBER six ) (STYLE thin crust ) (TOPPING mushroom ) and (TOPPING pepper ) pizzas ) )
86,(ORDER give me (PIZZAORDER (NUMBER a ) (SIZE small ) pizza with (TOPPING pepperoni ) (TOPPING sausage ) but without (NOT (TOPPING olives ) ) ) )
87,(ORDER i need (PIZZAORDER (NUMBER one ) (SIZE large ) pie with (TOPPING onions ) and (TOPPING pineapple ) but avoid (NOT (TOPPING pesto ) ) ) )
88,(ORDER get me (PIZZAORDER (NUMBER a ) (SIZE small ) (TOPPING onion ) pizza with (TOPPING pesto ) and no (NOT (TOPPING peppers ) ) ) )
89,(ORDER get me (PIZZAORDER (NUMBER five ) (TOPPING onion ) and (TOPPING pepper ) pizzas with (TOPPING pesto ) ) )
90,(ORDER get me (PIZZAORDER (NUMBER a ) (TOPPING bacon ) (TOPPING mushroom ) and (TOPPING sausage ) pizza ) )
91,(ORDER get me (DRINKORDER (NUMBER three ) (DRINKTYPE pepsis ) ) (DRINKORDER (NUMBER two ) (DRINKTYPE dr peppers ) ) and (DRINKORDER (NUMBER a ) (DRINKTYPE sprite ) ) )
92,(ORDER i need to order (PIZZAORDER (NUMBER an ) (SIZE extra large ) (STYLE veggie ) pizza with (COMPLEX_TOPPING (QUANTITY extra ) (TOPPING cheese ) ) ) and (PIZZAORDER (NUMBER an ) (SIZE extra large ) (STYLE veggie ) pizza with no (NOT (TOPPING mushrooms ) ) ) )
93,(ORDER (PIZZAORDER (NUMBER one ) (SIZE large ) pizza with (TOPPING spinach ) and (TOPPING grilled chicken ) ) )
94,(ORDER i would like to try (PIZZAORDER (NUMBER a ) (SIZE medium ) (TOPPING mushroom ) and (TOPPING pineapple ) pizza with no (NOT (TOPPING ham ) ) ) please )
95,(ORDER i want to order (PIZZAORDER (NUMBER two ) (SIZE large ) (STYLE deep dish ) (STYLE meat lovers ) pizzas ) )
96,(ORDER (PIZZAORDER (NUMBER a ) (SIZE large ) (TOPPING tuna ) pizza with (TOPPING pepperoni ) and (TOPPING olives ) ) )
97,(ORDER can i have (PIZZAORDER (NUMBER a ) (SIZE small ) pie with (STYLE thin crust ) (TOPPING peppers ) and (TOPPING chicken ) ) )
98,(ORDER i want to get (PIZZAORDER (NUMBER an ) (TOPPING olive ) and (TOPPING sausage ) pie with no (NOT (TOPPING tuna ) ) ) )
99,(ORDER i wanted to have (PIZZAORDER (NUMBER two ) (SIZE small ) pies with (STYLE thin crust ) and (TOPPING pesto ) (TOPPING onions ) ) )
100,(ORDER i wanted to have (DRINKORDER (NUMBER three ) (DRINKTYPE pepsis ) ) (DRINKORDER (NUMBER one ) (DRINKTYPE fanta ) ) and (DRINKORDER (NUMBER one ) (SIZE small ) (DRINKTYPE doctor pepper ) ) )
101,(ORDER i want (PIZZAORDER (NUMBER a ) (SIZE medium ) (TOPPING bacon ) and (TOPPING chicken ) pizza with no (NOT (TOPPING olives ) ) ) )
102,(ORDER i want to order (PIZZAORDER (NUMBER a ) (SIZE large ) pizza with (TOPPING tomatoes ) (TOPPING peppers ) and (TOPPING sausage ) ) )
103,(ORDER i want to try (PIZZAORDER (NUMBER one ) (SIZE small ) (TOPPING pepper ) and (TOPPING mushroom ) pizza with no (NOT (TOPPING pineapple ) ) ) please )
104,(ORDER i need (PIZZAORDER (NUMBER a ) (SIZE large ) (STYLE thin crust ) (TOPPING onion ) and (TOPPING chicken ) pie ) )
105,(ORDER i would like to have (PIZZAORDER (NUMBER one ) (SIZE large ) pizza with (TOPPING onions ) (TOPPING olives ) and (TOPPING sausage ) ) )
106,(ORDER i want to try (PIZZAORDER (NUMBER a ) (SIZE small ) pizza with (TOPPING onions ) and (TOPPING pesto ) and no (NOT (TOPPING peppers ) ) ) )
107,(ORDER i would like to have (PIZZAORDER (NUMBER a ) pizza with (TOPPING bacon ) (TOPPING tuna ) but do not add (NOT (TOPPING onions ) ) ) )
108,(ORDER i want to get (PIZZAORDER (NUMBER two ) (SIZE small ) (STYLE thin crust ) pies with (TOPPING pesto ) and (TOPPING onions ) ) )
109,(ORDER (PIZZAORDER (NUMBER one ) (SIZE small ) pizza with no (NOT (TOPPING pesto ) ) ) please )
110,(ORDER i'll go for (PIZZAORDER (NUMBER a ) (SIZE small ) pizza along with (TOPPING pepperoni ) (TOPPING sausage ) but hold (NOT (TOPPING olives ) ) ) )
111,(ORDER i'll go for (PIZZAORDER (NUMBER a ) (SIZE large ) pie along with (TOPPING pineapple ) along with (COMPLEX_TOPPING (QUANTITY extra ) (TOPPING cheese ) ) but hold (NOT (TOPPING bacon ) ) ) )
112,(ORDER i wanted to have (PIZZAORDER (NUMBER a ) (SIZE small ) pie with (TOPPING chicken ) and (STYLE thin crust ) (TOPPING peppers ) ) )
113,(ORDER i wanted to have (PIZZAORDER (NUMBER a ) (SIZE large ) pizza with (TOPPING tuna ) and (TOPPING mushrooms ) but without (NOT (TOPPING bacon ) ) ) )
114,(ORDER get me (PIZZAORDER (NUMBER an ) (TOPPING olive ) and (TOPPING pepperoni ) pizza with no (NOT (TOPPING pesto ) ) ) )
115,(ORDER i need (PIZZAORDER (NUMBER an ) (SIZE extra large ) pizza with (STYLE everything ) ) (PIZZAORDER (NUMBER a ) (SIZE medium ) pizza with (TOPPING onions ) and (COMPLEX_TOPPING (QUANTITY extra ) (TOPPING cheese ) ) ) and (PIZZAORDER (NUMBER a ) (SIZE medium ) pizza with (TOPPING pepperoni ) and (TOPPING mushrooms ) ) )
116,(ORDER i want (PIZZAORDER (NUMBER two ) (SIZE medium ) (TOPPING cheese ) pizzas ) )
117,(ORDER i want (PIZZAORDER (NUMBER a ) (TOPPING mushroom ) and (TOPPING pepper ) pizza no (NOT (TOPPING onions ) ) ) )
118,(ORDER i'll go for (PIZZAORDER (NUMBER a ) (SIZE large ) pie with (TOPPING ham ) (TOPPING pepperoni ) and (TOPPING tuna ) ) )
119,(ORDER i would like (PIZZAORDER (NUMBER a ) (SIZE large ) pizza with (TOPPING sausage ) (TOPPING olives ) and (TOPPING ham ) ) )
120,(ORDER (PIZZAORDER (NUMBER three ) (SIZE large ) pizzas with (TOPPING spinach ) and (TOPPING anchovies ) ) )
121,(ORDER i'd like (PIZZAORDER (NUMBER a ) pie with (TOPPING pepperoni ) (TOPPING pineapple ) and no (NOT (TOPPING tuna ) ) ) )
122,(ORDER can i get (PIZZAORDER (NUMBER a ) (SIZE medium ) pizza with (TOPPING bacon ) (TOPPING peppers ) and (TOPPING mushrooms ) ) )
123,(ORDER i'd like (PIZZAORDER (NUMBER one ) (SIZE small ) pie with (COMPLEX_TOPPING (QUANTITY extra ) (TOPPING cheese ) ) (TOPPING tuna ) and no (NOT (TOPPING pepperoni ) ) ) )
124,(ORDER i want to have (PIZZAORDER (NUMBER one ) (SIZE medium ) (TOPPING cheese ) pizza ) and (PIZZAORDER (NUMBER two ) (SIZE small ) pizza ) and also (DRINKORDER (NUMBER two ) (DRINKTYPE cokes ) ) )
125,(ORDER i want to order (PIZZAORDER (NUMBER one ) (SIZE large ) (STYLE vegan ) pizza with (COMPLEX_TOPPING (QUANTITY extra ) (TOPPING mushrooms ) ) ) and (PIZZAORDER (NUMBER one ) (SIZE small ) (TOPPING pepperoni ) pizza ) )
126,(ORDER i want (PIZZAORDER (NUMBER a ) (SIZE large ) (TOPPING mushroom ) and (TOPPING pineapple ) pie with no (NOT (TOPPING ham ) ) ) )
127,(ORDER i would like (PIZZAORDER (NUMBER a ) (SIZE small ) (TOPPING onion ) and (TOPPING pineapple ) pizza with no (NOT (TOPPING sausage ) ) ) please )
128,(ORDER can i have (PIZZAORDER (NUMBER a ) (TOPPING mushroom ) and (TOPPING chicken ) pizza with no (NOT (TOPPING pepperoni ) ) ) )
129,(ORDER can i get (PIZZAORDER (NUMBER a ) (SIZE medium ) (TOPPING mushroom ) and (TOPPING tuna ) pie with no (NOT (TOPPING peppers ) ) ) )
130,(ORDER get me (PIZZAORDER (NUMBER a ) (SIZE small ) (TOPPING mushroom ) and (TOPPING sausage ) pizza with no (NOT (TOPPING pineapple ) ) ) )
131,(ORDER (PIZZAORDER (NUMBER a ) pie with (TOPPING pineapple ) and (TOPPING peppers ) without (NOT (TOPPING tuna ) ) ) )
132,(ORDER (PIZZAORDER (NUMBER one ) (SIZE medium ) (TOPPING spinach ) pizza ) and (DRINKORDER (NUMBER a ) (VOLUME two liter ) (DRINKTYPE coke ) ) )
133,(ORDER i need (DRINKORDER (NUMBER two ) (CONTAINERTYPE bottle ) (DRINKTYPE waters ) ) and (PIZZAORDER (NUMBER a ) (SIZE medium ) (TOPPING ham ) and (TOPPING bacon ) pizza ) )
134,(ORDER (PIZZAORDER (NUMBER two ) (SIZE large ) (TOPPING pepperoni ) ) and (DRINKORDER (NUMBER a ) (VOLUME two liter ) (DRINKTYPE sprite ) ) )
135,(ORDER i wanted to have (PIZZAORDER (NUMBER a ) (SIZE large ) pizza with (TOPPING pesto ) (TOPPING tuna ) but do not add any (NOT (TOPPING peppers ) ) ) please )
136,(ORDER i need to order (PIZZAORDER (NUMBER three ) (TOPPING bacon ) and (TOPPING tuna ) pies with no (NOT (TOPPING pepperoni ) ) ) )
137,(ORDER i need (PIZZAORDER (NUMBER one ) pie with (TOPPING pesto ) and (TOPPING mushrooms ) no (NOT (TOPPING pineapple ) ) ) )
138,(ORDER i'll go for (PIZZAORDER (NUMBER one ) (SIZE medium ) pie along with (TOPPING onions ) and (TOPPING chicken ) but avoid (NOT (TOPPING ham ) ) ) )
139,(ORDER i want (PIZZAORDER (NUMBER a ) (SIZE large ) (STYLE thin crust ) (TOPPING ham ) pie no (NOT (TOPPING onions ) ) ) )
140,(ORDER can i get (PIZZAORDER (NUMBER a ) pie with (TOPPING ham ) (TOPPING pesto ) and (TOPPING mushrooms ) ) please )
141,(ORDER i'll go for (DRINKORDER (NUMBER one ) (DRINKTYPE fanta ) ) (DRINKORDER (NUMBER two ) (DRINKTYPE dr peppers ) ) and (DRINKORDER (NUMBER four ) (SIZE small ) (DRINKTYPE pepsis ) ) please )
142,(ORDER can you get me (PIZZAORDER (NUMBER one ) (SIZE small ) (TOPPING italian sausage ) pizza with (TOPPING peppers ) (TOPPING feta ) and (TOPPING green olives ) ) and (DRINKORDER (NUMBER a ) (SIZE small ) (DRINKTYPE coffee ) ) )
143,(ORDER i need (PIZZAORDER (NUMBER a ) (SIZE small ) pie with (TOPPING ham ) (TOPPING pepperoni ) and with no (NOT (TOPPING tuna ) ) ) please )
144,(ORDER can i have (PIZZAORDER (NUMBER a ) (STYLE thin crust ) pizza with (TOPPING chicken ) and (TOPPING pineapple ) ) )
145,(ORDER get me (PIZZAORDER (NUMBER a ) (TOPPING pepperoni ) and (TOPPING ham ) pie with no (NOT (TOPPING onions ) ) ) )
146,(ORDER i want to try (PIZZAORDER (NUMBER a ) (SIZE small ) (TOPPING pepperoni ) and (TOPPING ham ) pie with absolutely no (NOT (TOPPING tuna ) ) ) please )
147,(ORDER i need (PIZZAORDER (NUMBER a ) (SIZE medium ) pizza with (TOPPING mushrooms ) and (TOPPING tuna ) without (NOT (TOPPING peppers ) ) ) )
148,(ORDER i'd like (PIZZAORDER (NUMBER two ) (SIZE small ) (STYLE thin crust ) pies with (TOPPING pesto ) and (TOPPING onions ) ) )
